County Name	total	total_resentanced	released	resentanced_nonlife	given_life	waiting_resentance	deceased		SUM
ADAMS	0	0	0	0	0	0	0		
ALLEGHENY	52	49	6	42	1	3	0		
ARMSTRONG	0	0	0	0	0	0	0		
BEAVER	5	3	1	2	0	2	0		
BEDFORD	0	0	0	0	0	0	0		
BERKS	9	8	0	8	0	1	0		
BLAIR	2	1	0	1	0	1	0		
BRADFORD	0	0	0	0	0	0	0		
BUCKS	6	5	0	5	0	1	0		
BUTLER	2	1	0	1	0	1	0		
CAMBRIA	0	0	0	0	0	0	0		
CAMERON	0	0	0	0	0	0	0		
CARBON	0	0	0	0	0	0	0		
CENTRE	0	0	0	0	0	0	0		
CHESTER	5	5	4	0	1	0	0		
CLARION	0	0	0	0	0	0	0		
CLEARFIELD	4	1	1	0	0	3	0		
CLINTON	0	0	0	0	0	0	0		
COLUMBIA	0	0	0	0	0	0	0		
CRAWFORD	4	3	2	1		1	0		
CUMBERLAND	3	3	0	3	0	0	0		
DAUPHIN	14	7	4	1	2	7	0		
DELAWARE	26	20	2	16	2	6	0		
ELK	1	1	0	1	0	0	0		
ERIE	9	7	1	5	1	2	0		
FAYETTE	5	3	2	1	0	2	0		
FOREST	0	0	0	0	0	0	0		
FRANKLIN	2	0	0	0	0	2	0		
FULTON	0	0	0	0	0	0	0		
GREENE	0	0	0	0	0	0	0		
HUNTINGDON	1	1	0	0	1	0	0		
INDIANA	1	1	1	0	0	0	0		
JEFFERSON	0	0	0	0	0	0	0		
JUNIATA	2	1	0	1	0	1	0		
LACKAWANNA	2	0	0	0	0	2	0		
LANCASTER	13	12	3	9	0	0	1		
LAWRENCE	1	0	0	0	0	1	0		
LEBANON	4	2	2	0	0	2	0		
LEHIGH	6	2	1	1	0	4	0		
LUZERNE	2	1	0	1	0	1	0		
LYCOMING	0	0	0	0	0	0	0		
MCKEAN	0	0	0	0	0	0	0		
MERCER	2	2	0	2	0	0	0		
MIFFLIN	0	0	0	0	0	0	0		
MONROE	2	2	1	0	1	0	0		
MONTGOMERY	6	5	1	3	1	1	0		
MONTOUR	0	0	0	0	0	0	0		
NORTHAMPTON	2	1	0	1	0	1	0		
NORTHUMBERLAND	2	0	0	0	0	2	0		
PERRY	0	0	0	0	0	0	0		
PHILADELPHIA	304	275	170	101	4	27	2		
PIKE	0	0	0	0	0	0	0		
POTTER	1	0	0	0	0	1	0		
SCHUYLKILL	0	0	0	0	0	0	0		
SNYDER	0	0	0	0	0	0	0		
SOMERSET	0	0	0	0	0	0	0		
SULLIVAN	0	0	0	0	0	0	0		
SUSQUEHANNA	1	1	1	0	0	0	0		
TIOGA	2	2	2	0	0	0	0		
UNION	0	0	0	0	0	0	0		
VENANGO	2	2	0	1	1	0	0		
WARREN	0	0	0	0	0	0	0		
WASHINGTON	1	1	0	1	0	0	0		
WAYNE	0	0	0	0	0	0	0		
WESTMORELAND	4	2	0	2	0	2	0		
WYOMING	0	0	0	0	0	0	0		
YORK	11	11	4	7	0	0	0		
									
SUM	521	441	209	217	15	77	3		
